fa_title,en_title,price,discount,score,publisher,author,code,Isbn,pages,publication_per_date,publication_ad_date,size,cover_material,print_series,earliest_send_time,summary,tags
کتاب پینوکیو کجایی (1)," Pinocchio, where are you?"," 7,000 "," 5,600 ",3.53,نیکوروش,هادی حیدری,121359,978-6006952380,1393,شومیز,,رقعی,,,,,"['شعر', 'ادبیات ایران', 'شعر ایرانی', 'شعر طنز', 'شعر معاصر']"
کتاب خاطرات آندری گرومیکو, Memories,"18,000",,3.71,اطلاعات,آندری گرومیکو,42181,978-9644231421,622,1393,,رقعی,,,,به مدت نیم قرن ، آندری گرومیکو به عنوان سفیر ، معاون وزیر امور خارجه ، وزیر امور خارجه و رئیس جمهور به ماشین سیاسی شوروی خدمت کرد.کتاب «خاطرات آندری گرومیکو» اساسا ویرایش دوم خاطرات وی است. به عنوان اولین شماره ، نسخه روسی 1988 ، در دو جلد منتشر شد. این کتاب «خاطرات آندری گرومیکو» با تکیه زیاد بر طرح های شخصیت های سیاسی و سرگرمی هایی که گرومیکو در طول سالیان متمادی تجربه کرده است ، به خوبی نمی تواند به مسائل اصلی پیرامون جنگ جهانی دوم و جنگ سرد بپردازد. و کمی کنایه آمیز است که گرومیکو اندکی پس از اتمام فصل نهایی کتاب ، بیشتر درباره استالین درگذشت.گرومیکو در این کتاب بعد از شرح دوران کودکی و نوجوانی ،و وقایع زندگی خصوصی اش به معرفی شخصیتهایی می پردازد که در طی دوران فعالیت خود با آنها آشنا شده است. این خاطرات تصویری را که رهبران شوروی می خواستند از کشور خود ترسیم نمایند بخوبی نشان می دهد و اجزای مختلف تشکیل دهنده طرز فکر رهبران شوروی،قبل از گورباچف را به نمایش می گذارد.,"['زندگی نامه', 'ادبیات روسیه', 'دهه 1980 میلادی', 'سیاسی', 'تاریخی', 'تاریخ روسیه (شوروی)']"
کتاب پایان کار انوشیروان, Shahnameh,"15,000",,3.12,سمیر,شهلا انسانی,42801,978-9642202911,1398,شومیز,,رقعی,,,,شاهنامه قصه همدلی ها، همراهی ها و مبارزه با نامردی ها و دیوان است. دیو سپید و دیو اکوان قصه نیست، افسانه نیست، واقعیت است. امروز در همین روزگارمان دیوان مردمی خوار در کمین نشسته اند تا از خود غافل شویم. فرو بلعیده شده ایم و شاهنامه می آموزدمان چگونه با این دیوان و ددان مقابل کنیم و در یک جمله بگویمت: «شاهنامه کتاب هنر زیستن است. راهنمای نیکو زیستن و با این اندیشه بود که پس از سال ها انس با شاهنامه بر آن شدم، تا آن را به نثر درآورم. چه می دانم که خواندن شاهنامه منظوم دشوار است تا جوانان ما طریق مردمی زیستن را از کتاب زندگی ایرانیان بازخوانی کنند.»,"['ادبیات اقتباسی', 'ادبیات داستانی', 'داستان حماسی', 'ادبیات ایران', 'ادبیات کهن']"
کتاب تو با ارزشی فرزندم, You are my precious child," 79,900 "," 63,920 ",3.97,نسل نواندیش,الناز هاشم منیری,74603,978-6222200091,1398,شومیز,,رقعی,,,,این کتاب حاوی مجموعه ای از مطالب و اطلاعات ارائه شده توسط پدیدآوردگان اثر، پدرها و مادرها، مشاوران و مربیان آموزشی در اشکال گوناگون پیرامون چگونگی پرورش کودک سالم و دارای اعتماد به نفس و عزت نفس است. اثری که سبک تربیتی سالم را آموزش می دهد و اعتماد به نفس را به عنوان محور اصلی تربیت قلمداد می کند.,"['ادبیات ایران', 'تعلیم و تربیت', 'آموزشی', 'روانشناسی کودک']"
کتاب من و بابایی, Daddy and Me,"65,000",,3.78,فنی ایران - نردبان,کارن کتس,106397,978-6004773713,12,1401,,خشتی,,,,بابایی می خواهد یک لانه ی خوشگل بسازد اما بلد نیست به تنهایی آن را بسازد!کودکتان را صدا بزنید تا در کنار شما بنشیند و ابزارهای را یکی یکی برای بابایی پیدا کند و در کنار شما لحظه های لذت بخشی را بگذراند.,"['ادبیات آمریکا', 'ادبیات کودک و نوجوان', 'دهه 2000 میلادی', 'شعر', 'کتاب کودک', 'شعر کودک', 'کتاب مصور']"
کتاب نهج البلاغه, Nahj al-Balagha,"85,000",,3.69,بنیاد نهج البلاغه,حسین استادولی,31901,978-6005076974,1397,جلد سخت,,وزیری,,,,کتاب نهج البلاغه، ترجمه و شرح واژگان که بر اساس ترجمه حسین استاد ولی از متن نهج البلاغه است که مزین به پژوهشی لغوی توسط سه تن از بانوان نهج البلاغه پژوه شده است. این پژوهش که مفردات و لغات مشکل نهج البلاغه را شرح داده است در نهایت با ویرایش، نگرش و تصحیح حسین استادولی طی پروژه ای دو ساله تنظیم و تقدیم علاقه مندان و اساتید، پژوهشگران و دانشجویان و طلاب قرار گرفته است.,[]
کتاب منشا کیهان, Origins,"46,000",,3.74,مازیار,استیون ایلز,22310,978-6006043265,312,1399,,رقعی,,,,طی قرون متمادی شناخت انسان از آسمان به طور مستمر دستخوش تحول و تکامل بوده و آرام آرام بشر توانسته مرز میان نگرش علمی و غیر علمی را از هم تمیز دهد. آسمان، و در معنایی وسیعتر، جهان هستی چه در گذشته و چه حال و چه در آینده جز لاینفک و تاثیرگذار زندگی انسان محسوب شده و میشود. این کتاب یکی از سری کتاب های «جهان اخترشناسان» است که طی سالهای اخیر در سطح بین المللی توسط انتشارات اشپرینگر چاپ شده است.چاپ کتاب هایی از این دست موجب ارتقا دانش عمومی نجوم در میان عامه ی مردم در بسیاری از کشورها شده است و انتشارات مازیار هم با چاپ ترجمه ی این سری در ایران، گامی بزرگ در راستای اعتلای علم و دانش برمیدارد.,"['ادبیات آمریکا', 'ادبیات واقع گرایانه', 'دهه 2000 میلادی', 'علمی', 'نجوم']"
کتاب سرشت فناوری, The Nature of Technology,"32,000",,3.88,نشر نی,ویلیام برایان آرتور,36197,978-9641854418,269,1399,,رقعی,,,,برایان آرتور، استاد سابق اقتصاد و مطالعات جمعیت شناسی دانشگاه استنفورد و از متفکران پیشگام نظریه ی پیچیدگی، معتقد است فناوری بیش از هر عامل دیگری بر زندگی ما اثر دارد؛ با وجود این، بسیاری از پرسش های مربوط به این پدیده هنوز بی پاسخ مانده اند: نوآوری چیست؟ فناوری های نو از کجا سرچشمه می گیرند؟ چگونه تکامل پیدا می کند؟ آیا تکامل فناوری شبیه تکامل موجودات جاندار است؟ نویسنده در این کتاب کم سابقه به این پرسش ها و بسیاری پرسش های دیگر از این دست پاسخ می دهد. کتاب سرشت فناوری نظریه ای ظریف و نیرومند درباره ی ریشه ها و روند تکامل فناوری است. تأثیر این کتاب در حوزه ی فناوری قابل مقایسه است با تأثیر کتاب ساختار انقلاب های علمی تامس کوهن در حوزه ی علم. نویسنده با قلمی روان و غیرفنی، ضمن شرح نمونه های فراوان و متنوعی از فناوری در رشته های گوناگون، از اختراعات تاریخی گرفته تا فناوری های پیشرفته ی امروزی، ما را به سفری چشم گشا می برد؛ سفری که در پایان آن حس می کنیم تصورمان از فناوری و تأثیرات عمیق آن بر زندگی دگرگون شده است. سرشت فناوری اثر کلاسیک زمانه ی ماست.,"['ادبیات انگلیس', 'ادبیات واقع گرایانه', 'دهه 2000 میلادی', 'فلسفی', 'علمی', 'تجارت و کسب و کار', 'تکنولوژی', 'اقتصادی']"
کتاب بغض غزل, Boghz-e Ghazal," 120,000 "," 90,000 ",3.33,پرسمان,فرخنده موحد راد,52727,978-9642835409,1393,شومیز,,رقعی,,,,,"['داستان عاشقانه', 'ادبیات داستانی', 'رمان', 'ادبیات ایران']"
کتاب ناپدید شدن, Napadid shodan," 75,000 "," 56,250 ",3.6,روزنه,نیکزاد نورپناه,39378,978-9643347543,1399,شومیز,,جیبی,,,,,"['ادبیات داستانی', 'رمان', 'ادبیات ایران']"
کتاب ذرت سرخ, Red Sorghum,"25,000",,3.73,جویا,مو یان,348,978-964-2895-76-2,469,1395,,رقعی,,,,"رمان ذرت سرخ، رمانی موفقیت آمیز درباره ی عشق و مقاومت در دهه ی 1930 چین است که مو یان، برنده ی نوبل ادبیات در سال 2012، آن را به رشته ی تحریر درآورده است. این رمان خانوادگی و اسطوره ای با پیگیری زندگی سه نسل، از طریق سلسله فلش بک هایی روایت می شود که رویدادهایی مخوف را در سرزمینی بسیار زیبا به تصویر می کشند. کتاب، برهه ای از تاریخ را برگزیده که در خلال آن، چینی ها هم با شورشیان داخلی و هم با متجاوزین ژاپنی در جنگ بودند.
رمان ذرت سرخ که در چین شهرتی افسانه ای دارد و جوایز متعددی را از آن خود کرده و همچنین، الهام بخش یک فیلم نامزد اسکار بوده است، داستان و تاریخ را در هم آمیخته و اثری را به وجود آورده است که کاملا بدیع و البته فراموش نشدنی است.","['ادبیات اقتباسی', 'جایزه نوبل ادبیات', 'داستان تاریخی', 'ادبیات داستانی', 'ادبیات معاصر', 'دهه 1980 میلادی', 'ادبیات چین']"
کتاب آمار, Statistics," 20,000 "," 16,000 ",3.69,بصیرت,دیوید جی هند,75446,978-6005492514,159,1391,,پالتویی,,,,آمار در معرض سوءفهمی ناخوشایند اما اساسی است که مردم را در باب ذات اساسی آن به اشتباه می‌اندازد. این باور اشتباه این است که آمار نیازمند استفادۀ‌ گسترده از ریاضیات ملال‌آور است و اینکه، در نتیجه، آمار رشته‌ای خشک و بی‌انعطاف است و خالی از خیال و خلاقیت و هیجان. اما این تلقی تصویر کاملا نادرستی از‌ نظام جدید آمار است. این تصویر مبتنی بر درکی است که به بیش از نیم قرن گذشته بازمی‌گردد. خصوصا این تصویر کاملا از این واقعیت چشم می‌پوشد که کامپیوتر این نظام را تغییر شکل داده و آ‌ن را از مشغله‌های ریاضی به نظامی تبدیل کرده است که مبتنی بر استفاده از نرم‌افزارهای پیشرفته برای کاوش در داده‌ها به منظور حصول فهم و روشنگری است. این نظام جدید در پی امور ذیل است: استفاده از ابزارها برای کمک به ادراک، فراهم آوردن طرقی برای روشن‌تر شدن امور، راه‌هایی برای فهم، ابزارهایی برای نگاهبانی و راهبری، و نظام‌هایی برای تصمیم‌سازی. همۀ این امور و بیش از این، وجوهی از این نظام جدیدند. هدف این کتاب آن است که به خواننده‌اش فهمی از این نظام جدید بدهد.,"['ادبیات انگلیس', 'دهه 2000 میلادی', 'آمار،سنجش و اندازه گیری', 'علوم کامپیوتر']"
کتاب در خرابات مغان, Dar Kharabat-e Moghan," 230,000 "," 195,500 ",3.97,قطره,داریوش مهرجویی,120048,978-6001192166,1402,شومیز,,رقعی,,,,"در خرابات مغان دومین رمان داریوش مهرجویی که توسط نشر قطره در سال ۱۳۹۱ چاپ گردید. مهرجویی در دومین رمانش کوشیده است با گره زدن اندیشه‌ها در بافت روایت داستانی خود به این موضوع بپردازد که با این همه دشمنی وخشونت واختلاف مذهبی ومسلکی می‌توان در کنار هم با عشق زندگی کرد؟آیا میتوان بری از مسائل سیاسی به عشق و دین و عرفان پرداخت؟در این رمان دو دلداده ی دانشجوی دانشگاه پنسلیلوانیا در فیلادلفیا که یک پسر ایرانی مسلمان ویک دختر کاتولیک ایتالیایی تبار را شامل می‌شوند,درکشاکش اندیشه و ایمان درگیر عشق عمیقی می‌شوند و می خواهند به زندگی مشترک بپردازند تا این که رویداد خونبار ۱۱ سپتامبر پیش می‌آید. آن‌ها به سیاست کاری ندارند. ایا سیاست با زندگی و عشق و ایمان این دو دلداده کنار می‌آید؟ در توضیح این رمان میتوان گفت : درباره ی عشق و دین و فلسفه و سیاست و خشونت و... زندگی!","['ادبیات داستانی', 'ادبیات معاصر', 'رمان', 'ادبیات ایران']"
کتاب خنده بازار, Laughing,"15,000",,3.36,توسعه فرهنگ و روانشناسی تهران,,12242,9786009098095,1391,2012,,رقعی,,,,,"['ادبیات معاصر', 'داستان کمدی (طنز)', 'دهه 2010 میلادی', 'مجموعه داستان', 'ادبیات ایران']"
کتاب مائده های زمینی و مائده های تازه, The Fruits of the Earth," 195,000 "," 175,500 ",3.56,نیلوفر,آندره ژید,243,978-964-448-184-0,307,1402,,رقعی,,,,"رمان مائده های زمینی و مائده های تازه، رمانی است که قالب های مختلفی به خود گرفته است: نظم، نثر شعرگونه، سفرنامه، شرح حال و گفت وگو. اگرچه در این رمان، المان های داستان پردازی و خودزندگی نامه بسیار واضح و آشکار به چشم می خورد، اما رمان مائده های زمینی و مائده های تازه بیشتر به عنوان اثری فلسفی در نظر گرفته می شود. این عنوان شامل دو بخش است که با فاصله ی زمانی چهل ساله نسبت به هم نوشته شده اند.
بخش اول زمانی نوشته شد که آندره ژید در حال بهبودی از یک بیماری کشنده بود. نویسنده از طریق نظمی فاخر و در قالب سفرنامه، داستان بازدیدش از جنوب ایتالیا، مزرعه ای در نورماندی و مکان های مختلفی در آفریقای شمالی را بازگو می کند. جان مایه ی اصلی این بخش، زندگی در لحظه ی حال و در آغوش کشیدن احساسات و تجارب تلخ و شیرین زندگی است.
بخش دوم که در دهه ی ششم زندگی نویسنده به نگارش درآمد، تأیید و تأکیدی بر فلسفه ی دوران جوانی ژید و تفسیری جامع از مفاهیم مذهبی و سیاسی این فلسفه است. ژید در رمان مائده های زمینی و مائده های تازه بیان می کند که بزرگ ترین افسوس های ما، امور انجام شده نیستند، بلکه کارهایی هستند که آن ها را انجام نداده ایم: فرصت ها و تجارب از دست رفته و لذت هایی که از خودمان دریغ کرده ایم.","['ادبیات فرانسه', 'جایزه نوبل ادبیات', 'ادبیات داستانی', 'داستان فلسفی', 'ادبیات کلاسیک', 'دهه 1890 میلادی', '1001 رمانی که باید قبل از مرگ بخوانید']"
کتاب هذیان های روزانه یک مرد خفته, Hazian-haye Roozaneh," 14,000 "," 10,500 ",3.42,دیبایه,حامد سلیمان زاده,58520,978-6002123572,1400,شومیز,,پالتویی,,,,این کتاب حاوی صد یادداشت روزانه از سلیمان زاده است که در ظاهر هیچ ارتباطی میان آن ها مشاهده نمی شود؛ نوشته هایی که مخاطب را به دنیای ذهنی نویسنده وارد می کنند و با ظرافت و طنزی گاه گاه او را با خود همراه می سازند.,"['کمدی', 'ادبیات ایران', 'کتاب مصور', 'مجموعه یادداشت']"
کتاب ته جدولی ها 3, The mystery of the ghost goalie," 225,000 "," 202,500 ",3.03,هوپا,روبرتو سانتیاگو,16676,978-6222040550,315,1402,,رقعی,,,,"کتاب ته جدولی ها 3 نوشته ""روبرتو سانتیاگو"" توسط نشر ""هوپا"" منتشر شده است. این کتاب یک اثر داستانی بسیار بامزه و مهیج است. درباره روز اول مهر روزی که مدارس باز می شوند و بچه ها دوست های تازه ای پیدا می کنند. اما امسال اول مهر یک روز متفاوت است. بچه با یک دانش آموز جدید چینی مواجه میشوند و از پس تمام معادلات پیچیده ریاضی بر می آید. همه به او می گویند نابغه. تازه از همین جاست که داستان شروع میشود. حضور او در مدرسه رویدادهای مختلفی را در داستان ایجاد می کند که همگی به نحوی می تواند جذاب و خواندنی باشند. این کتاب هم اکنون در وبسایت ایرانکتاب قابل دسترس است و شما می توانید آنرا تهیه نمایید تا در کوتاه ترین زمان ممکن به دستتان برسد.","['ادبیات داستانی', 'داستان کمدی (طنز)', 'ادبیات کودک و نوجوان', 'ادبیات اسپانیا', 'دهه 2010 میلادی', 'کتاب کودک']"
کتاب فروشنده ی دوره گرد, Der Hausierer," 120,000 "," 102,000 ",2.5,نشر چشمه,پیتر هاندکه,13705,978-6002293213,138,1402,,رقعی,,,,فروشنده ی دوره گرد رمانی از پیتر هاندکه نویسنده ی معروف اتریشی برنده ی جایزه ی نوبل ادبیات است. این رمان که در سال 1967 منتشر شد یک رمان جنایی است که با رعایت همه ی قواعد این ژانر. ، داستان یک قتل که تمام داستان های قتل دیگر را در خود خلاصه کرده است. همانطور که از نامش هم پیداست قهرمان داستان یک فروشنده ی دوره گرد است. او همه چیز را مشاهده می کند. کوچکترین وقایع را ثبت می کند. او شاهدی است که همه جا هست. خواننده ی این داستان که در تمام قسمت های داستان پیشرو است خود به شاهدی تبدیل می شود که هیچ چیز از نباید از نگاهش پنهان بماند. خواننده نمی تواند به هیچ راه حل قطعی ای دست یابد چرا که هیچ راه حل قطعی ای وجود ندارد.هاندکه مرتب از طنز و کنایه استفاده می کند حتی وقتی صحبت از جسدی است. سبک نوشتاری او منحصر به خودش است. او از معمانویسی، کدگذاری، تصویرپردازی و پیچیدگی با ساده ترین کلمات و موقعیت ها استفاده می کند. برای درک آثار او باید به کوچکترین چیزها توجه کرد مانند ویرگول و یا ایتالیک ها. اوگاهی مانند یک فیلمنامه نویس عمل می کند. این سبک منحصر به فرد او نتیجه ی نگاه خاص او به کلمات و ادبیات است.,"['داستان معمایی', 'جایزه نوبل ادبیات', 'ادبیات داستانی', 'ادبیات معاصر', 'داستان جنایی', 'دهه 1960 میلادی', 'رمان', 'ادبیات اتریش', 'جایزه ی فرانتس کافکا']"
کتاب عجایب مشرق زمین, Marvels of the East," 100,000 "," 75,000 ",3.71,فرهامه,رودلف ویتکوور,47226,978-6008284529,153,1400,,رقعی,,,,اثر پیش رو خط سیر شکل گیری صور خیال را در ذهن غربی نشان می دهد. سنت پردازش تصویر اگزوتیک و فانتزی شرق چرا و از کجا و چگونه ذهن غربی را در برگرفت؟ چرا شیوه زیستن و عادات و آداب شرقی ها برای غربی ها به امری غریب و توأم با تخیل و وهم تعریف شد و ذهنیت آن ها را برای افسانه سرایی آماده کرد؟ این اندیشه در دوران استعمار به اوج خود رسیده بود و جهان ناشناخته و عجیب وغریب شرق به عنوان سوژه ای برای اکتشاف و تخیل غربی ها شد. بر همین اساس، گفتمان «ما» و «دیگری» در رابطه ای «متمایز» شکل گرفت: هر آنچه در جهان غیرغربی است شگرف و شگفت انگیز است و از غرب عادی متمایز است. بنابراین، شرق را باید کشف کرد تا نقاط تمایز «ما» با «آن ها» مشخص شود. این همان تفکری است که غرب از طریق آن توانست انگاره، ایده و شخصیت و تجربه ای برای خودش دست و پا کند. یعنی غربی آن است که متمایز از شرقی است. بنابراین، امر غریب و شگرف حاصل قضاوت ارزشی است و به این گزاره مخاطره انگیز منجر می شود که: «ما با دیگران فرق داریم و از آن ها برتریم.» در این میان، بعد مسافت عنصر معناداری در هرچه شگفت انگیز نشان دادن شرق بود. زیرا شگفتی ها و عجایب در دور دست ها و در ورای قاره ها قرار دارد. به هرحال، گفتمان اگزوتیسمی غرب در «شرق شناسی» بازتاب پیدا کرد. شرق به عنوان «موضوع مورد مطالعه» یا «شرق موزهای» در ادامه همان تصور عجایب انگاری شرق پدید آمده است. در امتداد همین اندیشه بود که به قول ادوارد سعید، زبان های شرقی، تاریخ، فرهنگ، سیاست، اقتصاد، بیولوژی و مردم شناسی شرقی به عنوان موضوعات دانشگاهی عصر جدید به گفتمان «ما» و «دیگران» سروسامان تازه ای بخشیدند و به قول میشل فوکو به تولید مناسبات و روابط قدرت دانش انجامید.,"['ادبیات انگلیس', 'ادبیات واقع گرایانه', 'تاریخی', 'اسطوره ها و افسانه ها']"
کتاب فرهنگ مختصر اصطلاحات دیوانی شبه قاره, Akbar Shah,"20,000",,3.5,علمی و فرهنگی,ثریا پناهی,35833,978-6004368179,1398,شومیز,,رقعی,,,,بررسی تاریخچه دیوان و دیوان سالاری این واقعیت را آشکار می سازد که آخرین توقفگاه و ایستگاه این تشکیلات در خارج از مرزهای ایران و در شبه قاره بوده است. فرهنگ حاضر نمونه ای از اصطلاحات دیوانی رایج در دوره تیموریان شبه قاره ( عصر اکبرشاه) است. اهمیت و نقش زبان فارسی را در اصطلاحات مورد کاربرد نهادهای اداری، مالی و نظامی شبه قاره در فرهنگ هایی از این دست می توان یافت. اصطلاحاتی که برخی از آن ها امروز نیز کاربرد دارد و...,"['تاریخی', 'فرهنگی', 'ادبیات ایران', 'فرهنگ لغت']"
کتاب سیستم های آتش نشانی, Fire systems," 160,000 "," 120,000 ",3.86,شهرآب,هاتف شعبان نژاد,68480,978-9643144449,1399,شومیز,,وزیری,,,,کتاب پیش رو اثری علمی و کارآمد است که در آن پیرامون چگونگی اجرای سیستم های اعلام و اطفا حریق در ساختمان ها، پارکینگ ها و مکان های عمومی متناسب با نوع و تعداد طبقات ساختمان سخن گفته شده، دستورالعمل های ایمنی مورد نیاز برای اجرایی شدن در قسمت های مختلف ساختمان بیان شده، نقشه ها و استانداردهای لازم در اختیار قرار گرفته و همه آن چه که باید پیرامون به کارگیری سیستم های آتش نشانی توسط عوامل در ساختمان ها مورد توجه قرار گیرد ارائه گردیده است.,"['ادبیات ایران', 'کتاب مصور', 'آموزشی']"
کتاب دفتر دانایی, Daftar-e Danaee,"20,000",,3.75,نگاه معاصر,محمد ابن علی ابن عربی,28005,978-6005747287,272,1391,,رقعی,,,,کتاب حاضر در بردارند ه ی گزیده و خلاصه ای از آرای «ابن عربی» است. نام اصلی کتاب، المعرفه است و ابن عربی این رساله را زبد ه عقاید محققان از عرفان دانسته است. موضوعات مطرح شده در این نوشتار عبارت است: معرفت شناسی، وجودشناسی، خداشناسی، جهان شناسی، انسان شناسی، مباحث تأویلی و عرفان عملی. مطالب کتاب، در قالب 296 مسئله و به زبان ادیبانه و نزدیک به سبک نگارش متن اصلی تدوین شده است. این اثر، مدخلی مناسب برای مطالعه ی کتاب های مفصل تری مانند فتوحات است و از این لحاظ قابل اهمیت است.,"['ادبیات اسپانیا', 'دینی و مذهبی', 'معنویت', 'ادبیات کهن']"
کتاب میهمانان ام الرصاص, MIHMANAN OM'ALRSAS," 75,000 "," 63,750 ",3.73,سوره مهر,,54830,978-6000349738,1400,2021,,رقعی,,,,جنگ هشت ساله‌ی ایران و عراق ماجراهای بسیاری داشته که هنوز بخش زیادی از آن ناگفته و نانوشته باقی مانده است، از روزهای آغازین جنگ و عملیات‌‎های متعدد و اتفاق‌های آبادان، خرمشهر، اهواز، مهران، پاوه، فاو و ... . این جنگ با گستردگی جغرافیایی‌اش از کوهستان‌های غرب ایران تا دشت‌های وسیع جنوب و سواحل خلیج فارس، جنگی تمام عیار در زمین و آسمان و دریا بود. در این میان به نقش نبردهای آبی که بخش بزرگی از اتفاقاتش متکی به حضور غواصان بوده، خیلی کمتر از دیگر نبردها توجه شده است. کتاب‌ها، فیلم‌ها و آثار هنری که درباره‌ی جنگ شکل گرفته‌اند، کمتر به عملیات‌های متکی به حضور غواصان پرداخته‌اند و به استثنای چند نمونه‌، از حضور همراه با رشادت و مظلومیت بسیاری از این رزمندگان زیر آب‌ها کمتر خوانده، دیده و شنیده‌ایم. کتاب «میهمان ام‌الرصاص» خاطرات خودنوشت «سیدجعفر حسینی ودیق» غواص جانباز هشت سال جنگ است که می‌توان به عنوان روایتی از تاریخ شفاهی جنگ و انقلاب به سراغ آن رفت و از آن استفاده برد. «میهمان ام‌الرصاص: خاطرات خودنوشت غواص جانباز لشکر ۳۱ عاشورا» علاوه بر ذکر ماجراهای بسیاری از عملیات‌هایی که غواصان جنگ در آن‌ها حضور داشتند، به ماجراهای روزها و سال‌های آغازین انقلاب در منطقه‌ی آذربایجان و شهر تبریز نیز پرداخته که در کنار عکس‌های کتاب، به متن اثر قوام و اهمیت دوچندانی داده است.,"['خود زندگی نامه', 'زندگی نامه', 'تاریخی', 'جنگی', 'ادبیات ایران', 'تاریخ ایران', 'دهه 2020 میلادی', 'خاطرات شهدا', 'ناداستان']"
کتاب آرزو, Wish," 120,000 "," 102,000 ",3.64,آداش,باربارا اوکانر,113561,978-6227355437,159,1402,,رقعی,,,,آرزو؟ نه نباید آرزوت رو به کسی بگی، اینطوری برآورده نمیشه. باید توی قلبت نگهش داری، مثل یه چیز با ارزش. نباید دست از آرزو کردن بکشی. باید هربار که فرصتش بهت رو میاره، به سمتش بری.چارلی ریس (حواستون باشه شارلمین نیست، چارلیه)، از کلاس چهارم رازی رو در قلبش نگه داشته. مادر چارلی یه خانوم عجیبه که انگار هیچ وقت نمیخواد پاش رو روی زمین بذاره. یه دنده هم پدرشه. کسی اون رو به اسم صدا نمیزنه. همه بهش میگن یه دنده، حتی خود چارلی. خونه ی این خانواده تو شهر رالیه.اما زندگی چارلی رو با راز توی قلبش به سمت کولبی میبره. به سمت کوهستان های آبی رنگی بلوریج.بلوریج اما جای عجیبیه. هیچ ربطی به رالی نداره. اصلا به اندازه ای که یه شهر نیاز داره وسیله های لازمه رو نداره. حداقل نسبت به رالی واقعا خیلی چیزها کم داره. اما در عوض آدم هایی داره که حرف های زیادی برای گفتن دارن. مثلا خانواده ی اودوم با پسرهای قد و نیم قدش. رودخونه اش. کوه های آبی و دودیش، سگی که هم دیدیمش و یه کلبه ی دوست داشتنی.چارلی رو تنها نذارین. باهاش به کولبی برین.وقتی برای اولین بار با آدم های متفاوت رو به رو میشه. و خیلی حس ها رو تجربه میکنه. یا وقتی از راز توی قلبش مراقبت میکنه و… .,"['ادبیات آمریکا', 'ادبیات داستانی', 'ادبیات معاصر', 'دهه 2010 میلادی', 'رمان']"
کتاب نابودی کامل, Wipeout," 110,000 "," 88,000 ",3.08,فاطمی,مایکل آدامز,94732,978-6227564433,256,1401,,رقعی,,,,چاه های نفت منفجر شده اند.میلیون ها ماشین کنترلشان را از دست داده اند. دو نفر از برندگان جایزه ی شهامت با خطری مرگبار روبه رو هستند.بعد از گرفتاری اندی و دیلن در انفجاری مهیب ، زاندر، یاسمین ، جی جی، ایزابل و میلا متوجه می شوند که تنها شانس آن ها برای متوقف کردن حمله ی بعدی این است که از نشانه ساز جلوتر باشند.اما مغز متفکر شیطان صفت تنها مشکل آنها نیست. حالا برندگان جایزه ی شهامت ناچارند از پلیس، نماینده های دولت و دسته ی اراذل و اوباش هم فرار کنند.هیچ جا امن نیست. هیچکس قابل اعتماد نیست.آیا آنها می توانند به موقع سومین نشانه را رمزگشایی کنند؟ آیا می توانند جلوی حمله ی بعدی را بگیرند و هویت واقعی نشانه ساز را آشکار کنند؟اگر شما هم می توانستید قهرمان باشید، شهامتش را داشتید؟فقط پنج روز به نجات دنیا باقی مانده است...,"['ادبیات استرالیا', 'ادبیات داستانی', 'ادبیات معاصر', 'ادبیات کودک و نوجوان', 'دهه 2010 میلادی', 'کتاب نوجوان']"
کتاب آموزش نقاشی متحرک (انیمیشن), How to Draw and Paint Basic Animation," 40,000 "," 34,000 ",3.11,یساولی,والتر فاستر,60460,978-9643063504,31,1394,,رحلی,,,,والتر فاستر در سال 1891 به دنیا آمد. در دوران جوانی به نقاشی تابلوهای تبلیغاتی و پوسترها و فروشندگی دوره‌گرد دارو مشغول بود. والتر برای چندین روزنامه کثیرالانتشار، کاریکاتورهای سیاسی طراحی کرد.,"['ادبیات آمریکا', 'دهه 2000 میلادی', 'هنری', 'کتاب مصور', 'آموزش نقاشی']"
کتاب خانواده ی وندربیکر 3, The Vanderbeekers to the Rescue," 164,000 "," 139,400 ",3.36,پرتقال,کارینا یان گلازر,58263,978-6222741129,272,1402,,رقعی,,,,,"['داستان ماجرایی', 'ادبیات آمریکا', 'ادبیات داستانی', 'ادبیات کودک و نوجوان', 'دهه 2010 میلادی', 'داستان رئال', 'کتاب کودک', 'کتاب نوجوان']"
کتاب بیت کوین, Proof of Stake: The Making of Ethereum and the Philosophy of Blockchains," 285,000 "," 242,250 ",3.08,راه طلایی,ویتالیک بوترین,113780,978-6229320167,382,1402,,رقعی,,,,,"['ادبیات روسیه', 'تجارت و کسب و کار', 'تکنولوژی', 'اقتصادی', 'دهه 2020 میلادی', 'علوم کامپیوتر', 'علوم اقتصادی']"
کتاب مجله فرهنگ امروز 29, Farhang-e emrooz,"30,000",,3.78,فرهنگ امروز,,87839,978-0050744437,1399,شومیز,,رحلی,,,,,"['فرهنگی', 'ادبیات ایران', 'علوم انسانی', 'ماهنامه', 'نشریه']"
