site_index,summary
116,ما در جهانی زندگی می‌کنیم که به دلیل جهانی‌شدن، با انقلاب سریع حمل‌ونقل و ارتباطات راه دور، فروپاشی سیستم سوسیالیستی و انتقاد پذیرفته‌شده فزاینده از ایدئولوژی‌های پیشرفت، دگرگون شده است. مردان بیشتر به ارزش ها و فرهنگ اهمیت می دهند. ما بیشتر و بیشتر در مورد مکان‌ها، کشورها و سرزمین‌هایی صحبت می‌کنیم که هویت آن‌ها در آنجا چسبیده است. مناطق شهری، به طور نامتناسبی بزرگ شده، به مجمع الجزایر تقسیم می شوند. یک نظام جهانی جدید در حال شکل گیری است، بین تروریسم، حق مداخله، حقوق بشر و هژمونی آمریکا.
118,"کتاب بعد از سلام چه می گویید، اثری نوشته ی اریک برن است که نخستین بار در سال 1969 منتشر شد.
دکتر برن در این کتاب نشان می دهد که چگونه زندگی همه ی افراد طبق دستورالعملی از پیش تعیین شده اتفاق می افتد؛ پیش نویسی که انسان ها در طول دوران کودکی، خودشان برای خودشان می نویسند. این پیش نویس ممکن است در مسیر ناراحتی و یا موفقیت باشد و تعیین می کند که فرد چگونه با همکارانش تعامل خواهد کرد، با چه نوع شخصیتی ازدواج خواهد کرد، چند فرزند خواهد داشت و حتی در چه شرایطی از دنیا خواهد رفت. کتاب بعد از سلام چه می گویید به مخاطبین نشان می دهد که پیش نویس زندگی هر فرد چگونه نوشته می شود، چگونه عمل می کند و مهمتر از همه ی این ها، چگونه می توان برای رسیدن به خوشبختی و آرامش بیشتر، این پیش نویس را تغییر داد و حتی از نو نوشت."
119,انتشار این کتاب با یک صدمین سال تولد ژان پل سارتر هم زمان شد. کتابی که اندیشه های فیلسوف بزرگ فرانسوی را در زمینه های گوناگون از فلسفه تا ادبیات، اخلاق و سیاست دنبال می کند، و آفریده های ادبی و نمایشی او را مورد دقت قرار می دهد. نویسنده از یک سو ستایش گر نوآوری های فکری سارتر است و از سوی دیگر به شماری از نظریات او انتقاد دارد. بابک احمدی (1327) نویسنده، مترجم و از پیشگامان نقد مدرنیته در ایران است. آثار او در ضمره ی کتاب های پرفروش فلسفی به شمار می آید. «آفرینش و آزادی»، «از نشانه های تصویری تا متن»، «امید بازیافته»، «باد هر جا بخواهد می وزد»، «تصاویر دنیای خیالی»، «حقیقت و زیبایی»، «خاطرات ظلمت»، «سارتر که می نوشت»، «مارکس و سیاست مدرن»، «مدرنیته و اندیشه ی انتقادی»، «هایدگر و پرسش بنیادین»، «هایدگر و تاریخ هستی» و... عنوان تعدادی از آثار بابک احمدی است.
120,نادر ابراهیمی نویسنده ی خوش ذوق و ظریف نویس معاصر، پدید آورنده ی صدها اثر تحقیقی و ادبی و رمان است که در میان آن ها سه اثر بار دیگر شهری که دوست می داشتم، چهل نامه ی کوتاه به همسرم و یک عاشقانه ی آرام از شهرت و محبوبیت خاصی میان علاقه مندان به رمان و ادبیات برخوردارند.کتاب بار دیگر شهری که دوست می داشتم، داستان دختر و پسری روستاییست که از کودکی همبازی هم بوده اند و در بزرگسالی دلبسته ی هم. دو جوان که شیفته یکدیگرند بی توجه به مخالفت خانواده ها از روستا گریخته و عشقشان را در شهر محک می زنند. دختر که هلیا نام دارد، سختی ها و مشکلات زندگی در شهر را تاب نیاورده و دلدار خود را ترک می گوید. یازده سال با درد جدایی و نامه های غم انگیز پسر برای معشوقه اش سپری می شود تا اینکه سرانجام او نیز تصمیم می گیرد به دیار خود بازگردد. باران رویای پاییز، پنج نامه از ساحل چمخاله به ستاره آباد و پایان باران رویا سه فصل این داستان محبوب را تشکیل می دهند.چهل نامه ی کوتاه به همسرم، عشق نامه ایست از نادر ابراهیمی که در آن شرح مشکلات و نگرانی های زندگی مشترک را در کنار عشقی که برای همسرش در دل دارد، بیان می کند. گفتنی است که این نامه ها در واقع تمرین خوشنویسی ابراهیمی بوده و ذهن خلاق نویسنده از این فرصت برای آفرینش ادبی بهره جسته است.کتاب یک عاشقانه آرام اثری احساسی و آموزنده برای دلباختگان جوان است که از سه فصل پیش از آن واقعه ی بزرگ، در قلب آن واقعه و آن سوی واقعه تشکیل شده و داستان عشق معلمی با عنوان گیله مرد و معشوقه اش، عسل کوه های سبلان در دل سال های التهاب و دلهره بیان می کند. این داستان در عین واقع گرایی با چنان لطافت احساسی بیان شده که مخاطب را جذب فضای عاطفی خود می کند.انتشارات روزبهان این سه اثر از نادر ابراهیمی را در قالب یک کتاب به نام عاشقانه ها به مخاطبان عرضه داشته است.
121,"""اعجوبه ای در ژن های شما"" کتابی است به قلم دکتر ""داوسان چرچ""، که نشان می دهد ""DNA تقدیر نیست"" و ""تاثیر باورها، احساسات و نگرش ها بر ژن های شما"" را به تصویر می کشد. ""داوسان چرچ"" از بینش های حوزه جدید اپی ژنتیک ( یعنی کنترلی بالاتر از سطح ژن) برای بهبود استفاده می کند. او با استناد به صدها مطالعه علمی نشان می دهد که چگونه باورها و احساسات می توانند باعث بیان رشته های DNA شوند. او بر روی یک کلاس ژن به نام IEG متمرکز شده است. این ژن ها در عرض چند ثانیه پس از یک تحریک روشن می شوند. آنها می توانند با افکار یا احساسات مختلف تحریک شوند، نظیر: ""من عاشق آن گل های رز غیرمنتظره بودم که بیل به من هدیه داد"" یا ""من از آنچه عمو جان در جشن کریسمس گفت خیلی عصبانی هستم"". بسیاری از IEG ها، ژن های تنظیم کننده ای هستند که بر ژن های دیگری اثر می گذارند؛ ژن هایی که جنبه های خاصی از سیستم ایمنی بدن ما را تحت تأثیر قرار می دهند ، مانند تولید گلبول های سفید خون که باکتری ها و ویروس های مهاجم را از بین می برد. بنابراین اپی ژنتیک هر روز بر سلامتی ما تأثیر می گذارد.""داوسان چرچ"" اصطلاح جدید ""پزشکی اپی ژنتیک"" را برای توصیف تکنیک های بهبودی با اثرات اپی ژنتیک به کار می برد. وی همچنین خلاصه ای از دانش موجود در زمینه های روانشناسی انرژی و طب انرژی در نوزادان را ارائه می دهد ، که هر دو درمان های پزشکی اپی ژنتیک امیدوار کننده ای را ارائه می دهند. ""اعجوبه ای در ژن های شما"" نشان می دهد که برای درک این نتایج حیرت انگیز ، چارچوبی نظری مبتنی بر آزمایش های معتبر وجود دارد و پیش بینی می کند که بینش های پزشکی اپی ژنتیک ، زمینه های پزشکی و روانشناسی را به طور چشمگیری در دهه آینده پیش ببرد."
123,«جوزف د کتنر ‫»که متخصص در هنر اروپا و آمریکا پس از جنگ است، نمایشگاه‌های زیادی را مدیریت کرده و کتاب‌های متعددی در مورد هنرمندانی مانند بروس کانر، ژان دوبوفه، بروس نائومان و روکسی پین منتشر کرده است. در دهه گذشته، او چندین نمایشگاه در مورد وارهول تولید کرده است. در سال 2009، او اولین تفسیر از آثار دیرهنگام این هنرمند را در «اندی وارهول: دهه آخر» و همچنین نمایشگاه «ماشین تصویر: اندی وارهول و عکاسی» در سال 2012 سرپرستی کرد.
124,ادبیات در این دیار زودتر از سینما زبان باز کرد، زبان و نگاه تصویرگرانه ی هدایت، نیما، شاملو، اخوان، ابراهیم گلستان، هوشنگ گلشیری و نصرت رحمانی و...در سالهای 20 تاکنون زبان گشای ادبیات و سینما بوده است. سینما، شاگرد این ادبیات بود اما تفاوت است میان اجرای شعرو داستان با سینما: سینما برای اینکه روی دیوار بیفتد، رنج بسیار و مقاومت سخت می خواهد با نویسنده و قلم و کاغذ اثرمی آید اما با یک متن و یک دوربین، فیلم روی دیوار نمی افتد... در اشعار و آثار نصرت رحمانی، تصاویر و تپش حس قدرتمندی وجود دارد که با سینمای خیابانی زنده و زبان بازیگوشانه ی هنری کیمیایی کیپ شده است. گویا هر دو از یک پنجره با باغ جهان می نگرد، پنجره ای از هجرانی و قله هایی که بی تخفیف در خود تخمیر می شوند....
126,این کتاب براساس توجه نویسنده به اتفاقات اجتماعی به عنوان روزنامه نگار و مشاهداتش در مترو نوشته شده است. نویسنده با چاشنی نام های آشنا و تلفیق آن با نوستالژی های مردم، این اثر را خلق کرده است. مقدمه کتاب نیز به قلم منصور ضابطیان نوشته شده است. احسان محمدی، نویسنده این کتاب، روزنامه نگار و مدرس علوم ارتباطات است که در سابقه کاری خود اجرای چندین برنامه تلویزیونی از جمله برنامه هفت، صدبرگ و … را در کارنامه دارد.
127,کتاب اموزش کارگاهی داستان نویسی عناصر داستان را به صورت کارگاهی و کاربردی آموزش می دهد و راهنمای عملی مربیان و نوقلمان است که می خواهند ساده ترین و کوتاه ترین راه رابرای دستیابی به نویسندگی خلاق انتخاب کنند.این کتاب با توجه به پیوندهای مشترک داستان فیلنامه و نمایشنامه خواننده را با عناصر و ریشه های مشترک سه گانه های نوشتن آشنا می کند.
128,پسرک به عمو رموس که با این قصه ها او را سرگرم میکند، میگوید: ولی عمو رموس، اینها که کارشان فریب دادن یکدیگر است. و عمو رموس با فلسفه ای که خالی از تمسخر نیست جواب میدهد: «فریب را، جانوران شروع کردند. انسان ها آن را از جانوران یاد گرفته اند. و از آن پس مدام گسترش یافت. فریب، بیماری بسیاری واگیر داری است، خدا کند که شما از آن دور بمانید و به سنی برسید که موهایتان مثل موهای عمو رموس سفید شود و در این مدت نه فریب بخورد و نه-مخصوصا- کسی را فریب بدهید!»
128,کتاب «فرمول نابغه ها» اثر «برایان تریسی» است. یکی از مشهورترین کتاب ها در زمینه ی روانشناسی است. درمورد نویسنده می توان گفت: «برایان تریسی، زاده ی ۱۹۴۴ در شارلوت تاون کانادا است. او از نویسندگان کتاب های خودیاری بوده که بسیاری از کارهای خود را به صورت کتاب گویا ارائه داده است. موضوع سمینارها و ارائه های او شامل رهبری، فروش، مدیریت موثر و استراتژی کسب و کار است.» کتاب فوق توسط انتشارات «هامون» به چاپ رسیده است
130,قورباغه، جوجه، موش و عنکبوت به نهری می‌رسند. قورباغه شنا بلد است دوستانش را مسخره می‌کند و در آب شنا می‌کند. بقیه که شنا کردن بلد نبودند، با پوست گردو، برگ و تار عنکبوت قایقی می‌سازند و…
131,دنیای امروز شاهد انقلابی در روش های رفتاری کسب وکارهاست. ساختارهای سازمانی قدیمی با تأکید بر سلسله مراتب و مرزهای بسته جای خود را به ساختارهای منعطف و پویا می دهند. ویژگی بارز این ساختارهای جدید، باز بودن مرزهای آن ها برای تعامل با محیط است. عوامل زیادی در این تغییر اساسی نقش دارند. یکی از تغییرات اساسی در این زمینه، کاربرد پیوسته ارتباطات و فناوری های اطلاعاتی است. در این کتاب، کارکرد بنگاه های جدید در پرتو الزام های ارتباطی جدید به طرز موشکافانه ای بررسی شده است.
133,"کتاب آموزشی ""100 پرسش و پاسخ درباره اختلال نقص توجه - بیش فعالی (ADHD) کودکان و نوجوانان"" نوشته‌ی ""راس دی ناس"" و ""فیرن لیونتال"" است که به سوالات مختلفی که والدین ممکن است درباره این اختلال داشته باشند، پاسخ می‌دهد. کتاب اطلاعات فنی ضروری درباره این اختلال را در قالب 100 پرسش و پاسخ جامع ارائه می‌دهد.این اثر به صورت جامع و کامل به اختلال نقص توجه - بیش فعالی در کودکان و نوجوانان می‌پردازد. مولفان با ارائه توضیحات دقیق و علمی، تمام سوالات والدین را پوشش داده‌اند. این کتاب به سوالاتی مانند اینکه اختلال نقص توجه چیست، چه پیامدهایی دارد و چگونه باید آن را درمان کرد، پاسخ می‌دهد.نویسندگان این کتاب، دکتر راس دی ناس، یک نورولوژیست اطفال است که ارزیابی‌های نورولوژیکی انجام می‌دهد و در صورت لزوم، درمان‌های دارویی را پیشنهاد می‌دهد. همچنین، فیرن لیونتال نیز یک نوروسایکولوژیست اطفال است که ارزیابی‌های گوناگونی انجام می‌دهد و نقاط قوت و ضعف کودکان را به همراه جستجوی شرایط دیگر مرتبط با اختلال ADHD و ADD شناسایی می‌کند.این کتاب به عنوان یک منبع قابل اعتماد برای والدین کنجکاو و نیازمند پاسخ‌های دقیق و مطمئن درباره اختلال نقص توجه - بیش فعالی کودکان و نوجوانان شناخته می‌شود. والدین می‌توانند به راحتی اطلاعات مورد نیاز خود را از این کتاب بدست آورند و به راحتی با مسائل مرتبط با اختلال ADHD و ADD کنار بیایند. این کتاب با ترکیب دانش اساسی و اطلاعات جامع، والدین را در پیشبرد مسیر درمانی، تحصیلی و اجتماعی کودکان خود که دچار مشکلات رفتاری و توجهی هستند، یاری می‌رساند."
134,«کتاب کوچک مصاحبه» نوشته دکتر شهرام گیل آبادی (-۱۳۵۱)، عضو هیات علمی دانشکده صدا و سیما است. این کتاب یک راهنمای کاربردی در زمینه اصول و فنون مصاحبه در روزنامه نگاری و دیگر رسانه های گروهی است.این کتاب در پنج بخش به نگارش در آمده است که بخش اول تا چهارم آن به پیش داشته ها و افق های روشن و موجز برای رسیدن به مصاحبه ای فعال و پویا می پردازد و بخش پنجم که نتیجه ی تلاش خانم فاطمه رحیمی، روزنامه نویس و مصاحبه گر موفق حوزه ی مطبوعات است به مصاحبه ی تخصصی و علمی اختصاص دارد که با نمونه های عینی و تجربه ی اجرای برنامه های مصاحبه محور شش چهره ی بی بدیل برنامه های رادیو تلویزیونی همراه شده است.در این مصاحبه ها سعی بر آن است، مفاهیمی مانند زیبایی شناسی مصاحبه، توجه به تولید بینامتن ها و فرامتن های مصاحبه در تجربه ی عملی این بزرگواران مدنظر قرار گیرد تا به فرانمایی برای بازشناخت مصاحبه به عنوان یکی از جذاب ترین گونه های رسانه ای توجه جدی شود.کتاب کوچک مصاحبه تبارشناسی چگونگی شکل گیری مصاحبه از قبل، حین و بعد از آن را مورد توجه جدی قرار می دهد. در انتها، برای بازنمایی و ارجاع نکته های مطرح شده و تلفیق تجربه های شخصی و تخصصی همکارانی کارآزموده در کتاب، شش مصاحبه با آقایان اسماعیل میرفخرایی، علی اکبر عبدالرشیدی، محمدرضا شهیدی فر، مرتضی حیدری، فرزاد حسنی، و رضا رشیدپور ارایه شده و نظرات آن ها درباره ی مصاحبه ای منطقی رسانه ای به دست داده شده است
135,"""در خانه همسایه ها"" کتابی است شامل ""خاطرات محمدامین رسول زاده"" که یکی از سرشناس‌ترین اندیشمندان و سیاستمداران آذربایجان است. وی که از پایه‌گذاران حزب دمکرات ایران و از متفکران سوسیال دمکرات در جنبش مشروطه ایران بود، خاطرات زندگی پر فراز و نشیب خود را در کتاب ""در خانه همسایه ها"" به جهانیان عرضه کرده است. با این کتاب، مخاطب سفری طولانی به ""خاطرات محمدامین رسول زاده"" خواهد داشت و از مهمترین رویدادهای قرن بیستم در منطقه‌ی آذربایجان، مسکو و ایران باخبر خواهد شد. از اشغال آذربایجان توسط بلشویک‌ها و دستگیری ""محمدامین رسول‌زاده"" گرفته تا تبعید و سپس فرار او از مسکو، وی همه ‌چیز را چنان زنده به تصویر کشیده که مخاطب می‌تواند تنش و سختی مبارزات سیاسی وی را دریابد. تعصب و تلاش ""محمدامین رسول زاده"" برای استقلال آذربایجان در صفحه به صفحه‎ی این کتاب به چشم می‌خورد. وی آن دسته از هموطنانش را که به زبان روسی صحبت می‌کنند و به فرهنگ روسی متمایل هستند به شدت محکوم می‌کند و همواره بر حفظ هویت ملی، تمامیت ارضی، ترک‌گرایی و پایبندی به ارزش‌های ملی آذربایجان، تاکید می‌نماید. ""محمدامین رسول زاده"" ناسیونالیسم را وسیله‌ای برای حفاظت از موجودیت ملتش می‌داند. وقتی خواننده به لحظات مهم تاریخی که در کتاب ""در خانه همسایه‌ها"" به نگارش درآمده، نگاه می‌کند، متوجه می‌شود که این قوم چه رنج و ستم‌هایی را متحمل شده‌اند. با این حال قتل عام و سلب آزادی بیان هیچگاه نتوانست مردم این منطقه را از زبان مادری و تعصب ملی خود جدا کند. آنها تسلیم نشدند و همیشه برای آزادی خود جنگیدند. مخاطب با مطالعه‌ی""خاطرات محمدامین رسول زاده""، علاوه بر مسائل سیاسی قفقاز، با دیدگاه‌های پیرامون ایران و انقلاب مشروطه نیز آشنا خواهد شد."
136,مسلما هنرمندانی که به دستاوردهای جدیدی در وادی هنر رسیدند و مباحثی نو را در حیطه کار هنری خویش ارائه کردند، فلسفه خاصی را مد نظر داشته اند و به مدد رسیدن به آن مفاهیم و به جهت پاسخ به نایافته ها یشان دست به خلاقیت زدند، نه آنکه بخواهند همچون شعبده بازان تعجب و ناباوری مخاطبان خود را برانگیزند و از حیرت آنها ...
137,«مهم‌ترین عامل پیشرفت در هنر، تحقیق است. در کتاب مزبور هنرمند و گیتاریست بسیار خوب ایرانی بابک رستمی با پیدا کردن یک زبان متدیک و آنالیز تئوریک بر روی آثار معاصر گیتار، توانسته تحقیقی بسیار ارزشمند انجام دهد و دو گزینه‌ی تحقیق و انجام را در کنار هم قرار دهد. وی با بررسی دقیق تکنیک‌های جدید بر روی آثار قرن 20 و 21 گیتار و مکتوب کردن آن با زبان آکادمیک، یکی از ارزشمندترین تحقیقات در دهه‌ی اخیر ایران را بر روی گیتار کلاسیک انجام داده است، امیدوارم ارزش این اثر در ایران درک شده و الهام‌بخش دیگر نوازندگان برای دنبال‌ کردن این تحقیقات گردد. این کتاب، مانند یک فرهنگ لغات، می‌تواند مکمل کار همه‌ی مدرسین و نوازندگان گیتار در ایران باشد.»
138,"کتاب حضور، اثری پرفروش نوشته ی امی کادی است که نخستین بار در سال 2015 انتشار یافت. 
تا به حال برایتان اتفاق افتاده که چالشی دشوار را رها کنید و درست لحظه ای بعد، آرزو کنید که ای کاش شانس دیگری برای انجام دوباره ی آن داشتید؟ ما با دستیابی به قدرت شخصیمان می توانیم «حضور» را به دست آوریم؛ وضعیتی که در آن، دیگر نگران نگرشی که از خودمان در دیگران به وجود می آوریم، نیستیم و به جای آن، به اصلاح و بهبود طرز نگاه خودمان به خودمان می پردازیم. همان طور که این کتاب پیشگامانه بیان می کند، ما برای رسیدن به قدرت حضور حتما نباید سفر معنوی بزرگی را آغاز کنیم و یا دگردیسی درونی تمام عیاری را از سر بگذرانیم. بلکه باید هوشیاری خود را، لحظه به لحظه با تحت کنترل درآوردن زبان بدن، رفتار و ذهنمان در زندگی روزمره حفظ کنیم."
139,"مجموعه حاضر متشکل از داستان های آموزنده برگرفته از متون کهن پارسی استکه به همراه تصاویر زیبا و جذاب, پندها و آموزه های اخلاقی را در قالب قصه های زیبا به کودکان انتقال داده و زمینه رشد و بالندگی ذهنی آنان را فراهم می نماید.امروزه روانشناسان معتقدند داستان و قصه در رشد مغز کودکان و پرورش قوه تخیل آنها سهم بسزایی دارد.کودک از طریق قصه با محیط پیرامون خود بیشتر آشنا می شود.به هنگام رویارویی با نمونه های واقعی آن, می تواند رفتار و کنش مناسبی از خود نشان دهد.کودک فقط از قصه پند نمی گیرد بلکه کلمات جدید می آموزد, با تجربه های دیگران آشنا می شودو از احساسات گذشتگان و هم نوعان خود آگاه می گردد.همچنین قدرت تمرکز و دقت او افزایش می یابد و به رشد عاطفی, اجتماعی, کلامی و ذهنی او منجر می شود.مجموعه حاضر نیز با همین هدفدر بازآفرینی این مجموعه از کتاب های کلیله و دمنه, جوامع الحکایات ,بوستان و گلستان مرزبان نامه و… استفاده شده, تا کودکان ایرانی علاوه بر پندآموزیو آموختن راه و رسم زندگی با میراث گرانبهای گذشتگان خود نیز آشنا شوند."
140,"موسیقی فیلم های کیشلوفسکی, ده فرمان, زندگی دوگانه ورونیک و ..."
141,کتابی که پیش روی شماست به دلیل شیوایی قلم نگارنده آن و آراسته بودن آن به زبان فطرت، همواره با استقبال فراوان از سوی کسانی که به دنبال درک معنا، مفهوم، جایگاه و صورت و سیرت نماز به عنوان زیباترین شعار یکتاپرستان هستند روبرو بوده است.در آن لحظه که آدمی به شکوه و کمال آفریدگار جهان می اندیشد؛ سراپا شیفته آن میشود؛ دل و جانش به خضوع و خشوع و فروتنی می گراید با آهنگ فطرت در برابر آن همه کمال و عظمت سر تعظیم فرود می آورد.
142,دکتر «قاف» نگاه خاصی به زندگی داشت. او شخصیت آدم ها را بر اساس شکل دماغشان می سنجید. به نظر دکتر، هرکس باید مطابق شخصیت خود دماغ داشته باشد. هم چنین معتقد بود که اشتباهات تغذیه ای و مشکلات ژنتیکی باعث شده تا بیش تر افراد از دماغ خاص خود محروم بمانند و وجهه خاص خود را در زندگی به دست نیاورند. به نظر او اگر دماغ کلئوپاترا فقط کمی کوتاه تر بود، قیافه دنیا دگرگون می شد. داستان «همه نوع تعمیرات دماغ پذیرفته می شود» روایتی است طنزگونه از معضل لزوم مراجعه به جراحی های زیبایی. این مجموعه حاوی 12 داستان کوتاه است که همگی آنها به جز «همه نوع تعمیرات دماغ پذیرفته می شود» و «رئیس خط» برای نخستین بار منتشر شده اند. از آن جمله است: آدامس امپراتور؛ گلدان پشت پنجره؛ خاله زهرای نی نی علی؛ و ویلبر رایت پاشکسته.
143,انتشارات بین المللی آبرنگ نزدیک به دو دهه در زمینه نشر کتاب های آموزشی کودکان فعالیت می کند. ما اعتقاد داریم که عشق به یادگیری در سنین اولیه کودکی شروع می شود. این مجموعه فرصتی فراهم می آورد تا کودک تجربه کند، با موضوعات گوناگون آشنا شود و از یادگیری لذت ببرد. ما خوشحال هستیم که شما کتاب های 5 جلدی مفاهیم ریاضی انتشارات آبرنگ را انتخاب کردید. امیدواریم همان طور که ما از تهیه و انتشار این کتاب ها لذت بردیم، شما و کودکانتان هم از این مجموعه لذت ببرید.
146,زندگی نامه پروفسور فروید که برای اولین بار در سال 1927 به زبان انگلیسی منتشر شد، به سبک معمول، قوی و صریح او نوشته شده است که اکنون برای خوانندگان ادبیات روانکاوانه بسیار آشنا است. کتاب «زندگی علمی من» واقعا شرح فشرده‌ای از رشد مفاهیم روان‌کاوانه‌ای است که در ذهن پروفسور فروید آشکار می‌شوند. زیگموند فروید در سال 1856 در موراویا متولد شد. در سال 1938 حمله هیتلر به اتریش او را مجبور کرد که در لندن پناهنده شود و در سال بعد در آنجا درگذشت.کار او با چندین سال کار درخشان در زمینه آناتومی و فیزیولوژی سیستم عصبی آغاز شد. او تقریبا سی ساله بود که پس از مدتی تحصیل زیر نظر شارکو در پاریس، ابتدا علایقش به روانشناسی معطوف شد. فروید توانست رشد طبیعی غریزه جنسی را در دوران کودکی نشان دهد و عمدتا بر اساس بررسی رویاها به کشف اساسی خود در مورد نیروهای ناخودآگاهی رسید که بر افکار و اعمال روزمره ما تأثیر می گذارد. زندگی فروید بی حادثه بود، اما ایده های او نه تنها بسیاری از رشته های تخصصی، بلکه کل فضای فکری نیم قرن اخیر را شکل داده است.
147,دومین جلد از مجموعه کتاب های جنگ نرم به مباحث مرتبط با «جنگ رسانه ای» اختصاص یافته و می کوشد تا به سوالاتی همچون چیستی جنگ رسانه ای، نحوه کاربرد، شناخت کاربران، جایگاه آن در سیاست بین الملل و در نهایت نحوه بهره برداری از تکنیک های آن در راستای منافع ملی، پاسخ گوید. در این راستا، ابتدا مفاهیم و تعاریف جنگ رسانه ای مورد بررسی قرار گرفته و سپس با اشاره به ابزارهای این جنگ همچون رادیو، تلویزیون، واحدهای خبری، ماهواره ها و ... تلاش می شود با ذکر نمونه هایی ملموس، کاربردهای این نوع از جنگ نرم مورد ارزیابی و تحلیل قرار گیرد. در پایان نیز ۹ بخش مختلف به مبحث ایران و جنگ رسانه ای اختصاص یافته تا کاربردی تر نمودن این پژوهش، عینیت بیشتری یابد.
148,"کتاب ""سقید برفی باید بمیرد"" نوشته""نله نویهاوس""،کتابی پرفروش است که بیش از 3.5 میلیون نسخه به چاپ رسانده است.در یک روز نوامبر بارانی ، کارآگاهان پلیس پیا کیرخوف و الیور فون بودنشتاین،به صحنه قتلی رفتند که در آن تصادفی مشکوک اتفاق افتاده بود.زنی از یک پل عابر عابر سقوط کرده است و هنگام برخورد به زمین با ماشینی برخورد میکند که در حال گذشتن از خیابان بود.عابری دیگر شاهد این صحنه بوده است و میگوید که آن زن هل داده شده است.کاراگاهان قصه ""نله نویهاوس""،پیا و الیور،تحقیقات خود را شروع میکنند.آنها به روستای کوچکی که مقتول،ریتا کرامر،در آن زندگی میکند میرسند.اما معمایی در داستان وجود دارد.عصر یازده سپتامبر یازده سال قبل ، دو دختر هفده ساله بدون هیچ اثری از روستا ناپدید شدند و توبیاس سارتوریوس بیست ساله ، پسر ریتا کرامر ، به ده سال زندان محکوم است. بودنشتاین و کیرشوف کشف می کنند که توبیاس پس از تحمل حکم خود ، اکنون به شهر زادگاه خود بازگشت.در روستا ، پیا و الیور با اتفاق جدید و در عین حال جدید دیگری روبرو می شوند. وقتی دختر جوان دیگری ناپدید می شود."
151,کتاب تمرینات روحی روانی و مراقبه نوشته آناستازیا نوویک، داستانی الهام‌بخش از زندگی دختر جوانی است که به بیماری وخیمی مبتلا می‌شود و شانس زیادی برای زنده ماندن ندارد اما آشنایی‌اش با یوگا و مدیتیشن زندگیش را از این رو به آن رو می‌کند. این کتاب در قالب این داستان تمرینات مدیتیشن و یوگا را نیز آموزش می‌دهد.
152,برای آموزش مفهوم صدا و چگونگی انتقال آن راهکارهای بسیار زیادی وجود دارد. اما آموزش به کودکان باید دقت و ظرافت زیادی داشته باشد تا کودک با علاقمندی به یادگیری موضوع بپردازد. یکی از روش های بسیار جالب و نتیجه مدار آموزش به کودکان، تلفیق آموزش با شعر است. کودک از همان ماه های اول زندگی به نخستین چیزی که واکنش نشان می دهد و برای ما بزرگترها قابل درک است صدا است. صدای جغجغه، صدای مادر و پدر، صدای رادیو و تلویزیون و دیگر صداها و نسبت به هر کدام از آن ها عکس العمل نشان می دهد.در مجموعه کتاب های صدای کی؟ صدای چی؟ سعی شده صداهای مختلف با آهنگ شعر درآمیخته شود و از این طریق به کودکان آموزش داده شود. تصویرگری جذاب و زیبای این کتاب ها که از اشکال خمیری کریستل مک دیان می باشد به فهم بیشتر مطالب کمک زیادی می کند. عناوین این کتاب ها به شرح زیر می باشد:حیوانات خانگی، پرنده های مزرعه،آلات موسیقی(در دو جلد)، حیوانات جنگل (در دو جلد)، نی نی ها، وسایل نقلیه، حشرات، حیوانات مزرعهدر این کتاب ها صداها در قالب شعر به بچه ها آموزش داده می شود و در انتهای کتاب سوالاتی طراحی شده و از کودکان صدای حیوانات، آلات موسیقی و... پرسیده می شود.
154,ابی رد .لندن. 1988. روی خط عابر پیاده نزدیک استودیوی معروفی که بیتل ها آخرین آلبومشان را آن جا ضبط کرده اند با سال ادلر، تاریخ دان جوان، خودشیفته و بی ملاحظه ای که همه چیز را می بیند و هیچ چیز را نمی بیند، آشنا می شویم و چیزی نمی گذرد که خود را در میانه ی میدان بازی دیدن و ندیدن/ دیده شدن و دیده نشدن می یابیم. بازی به لندن و لندن نشینان محدود نمی ماند. همراه سال به برلین شرقی 1988 که زیر سایه سنگین دیوار و اشتازی به سختی نفس می کشد می رویم و به واسطه روایت نه چندان قابل اعتماد او با بازیکنان دیگری آشنا می شویم. مردی که همه چیز را می دید درباره دشواری واضح دیدن خود و دیگران است. در این جا، لوی از دامنه های وسیع تخیل انسان عبور میکند و در عین حال هنرمندانه دوتایی جنسی و سیاسی – زنانهو مردانه، شرق و غرب، گذشته و حال – را محئ می کند تا طیف کامل دنیایمان را آشکار کند.
156,یادها و دیدارها نه صرفا دفتر خاطرات ایرج پارسی‌نژاد، بلکه سندی است موثق که گوشه‌هایی از خلقیات و منش و رفتار جماعتی از کوشندگان عرصهٔ ادبیات و فرهنگ و هنر ایران را در پنجاه سال اخیر آشکار می‌کند. خوانندهٔ کتاب با برخی از خصلت‌ها و افکار و عقاید نام‌آوران زمانه چون بدیع‌الزمان فروزانفر، پرویز ناتل خانلری، عبدالحسین زرین‌کوب، عباس زریاب خویی، محمدجعفر محجوب، ایرج افشار، سیروس پرهام، داریوش شایگان، شاهرخ مسکوب، نجف دریابندری، نادر نادرپور، محمدرضا شفیعی کدکنی، محمدرضا شجریان، بهرام بیضایی، عباس کیارستمی و... آشنا می‌شود و نکته‌های نخوانده و نشنیدهٔ بسیاری می‌یابد.
